node_id,type,distance_to_root
2929,end,17111.217605438185
2930,slab,16780.989626723225
2931,branch,16792.59357781526
2932,slab,16815.630642915796
2933,slab,16835.630642915796
2934,slab,16863.91491416326
2935,slab,16892.199185410722
2936,end,16920.483456658185
2937,slab,16883.311480642802
2938,slab,16911.595751890265
2939,branch,16956.31711144026
2940,slab,17005.306906295926
2941,slab,17033.59117754339
2942,slab,17068.232193694766
2943,end,17088.232193694766
2944,slab,17116.669561090217
2945,slab,17161.390920640213
2946,branch,17210.888395323273
2947,slab,17251.508587346452
2948,slab,17279.792858593915
2949,slab,17308.07712984138
2950,end,17342.718145992756
2951,slab,17081.565640656405
2952,slab,17116.206656807783
2953,slab,17136.206656807783
2954,slab,17156.206656807783
2955,slab,17184.490928055246
2956,slab,17219.131944206623
2957,end,17247.416215454086
2958,slab,16937.85132177458
2959,slab,16957.85132177458
2960,slab,16977.85132177458
2961,slab,16997.85132177458
2962,slab,17017.85132177458
2963,slab,17052.492337925956
2964,end,17080.77660917342
2965,branch,15973.907634932062
2966,slab,15993.875135916938
2967,slab,16022.1594071644
2968,slab,16042.1594071644
2969,slab,16062.1594071644
2970,slab,16096.800423315777
2971,end,16116.800423315777
2972,slab,15611.32969290404
2973,slab,15660.827167587098
2974,slab,15695.468183738476
2975,slab,15715.468183738476
2976,branch,15735.468183738476
2977,slab,15775.468183738476
2978,end,15810.109199889854
2979,branch,16334.843957075567
2980,slab,16369.593880671762
2981,slab,16397.878151919223
2982,slab,16417.878151919223
2983,slab,16452.5191680706
2984,slab,16480.803439318064
2985,end,16509.087710565527
2986,slab,15317.700640678733
2987,slab,15337.700640678733
2988,slab,15365.984911926194
2989,slab,15410.70627147619
2990,slab,15459.696066331853
2991,slab,15487.980337579314
2992,end,15516.264608826776
2993,slab,16837.220763201123
2994,slab,16871.8617793525
2995,slab,16900.146050599964
2996,slab,16928.430321847427
2997,slab,16948.430321847427
2998,slab,16968.430321847427
2999,end,17003.071337998805
3000,slab,16797.127543582854
3001,slab,16995.244082639518
3002,slab,17058.489635842885
3003,branch,17098.738859437883
3004,slab,17151.84253162729
3005,slab,17171.84253162729
3006,end,17191.84253162729
3007,branch,16057.19460135269
3008,branch,16091.835617504068
3009,slab,16161.117649806823
3010,slab,16181.117649806823
3011,slab,16209.401921054285
3012,slab,16229.401921054285
3013,end,16249.401921054285
3014,slab,16589.442815932853
3015,slab,16658.724848235608
3016,slab,16687.00911948307
3017,slab,16707.00911948307
3018,slab,16735.293390730534
3019,slab,16784.2831855862
3020,end,16829.004545136195
3021,slab,14988.353553142593
3022,slab,15008.353553142593
3023,slab,15028.353553142593
3024,slab,15056.637824390054
3025,slab,15084.922095637516
3026,slab,15119.563111788893
3027,end,15154.204127940271
3028,branch,16422.040700264213
3029,branch,16443.429195659883
3030,branch,16518.262343395363
3031,slab,16620.24273366722
3032,slab,16680.24273366722
3033,slab,16720.24273366722
3034,end,16802.70484617957
3035,slab,15677.957866106348
3036,slab,15697.957866106348
3037,slab,15726.242137353809
3038,slab,15760.883153505187
3039,slab,15789.167424752648
3040,slab,15823.808440904026
3041,end,15858.449457055403
3042,branch,15409.647119165795
3043,branch,15487.688840532852
3044,branch,15554.94683379139
3045,slab,15656.927224063245
3046,slab,15685.211495310707
3047,slab,15719.852511462084
3048,end,15748.136782709546
3049,slab,16186.406544641295
3050,slab,16242.97508713622
3051,slab,16262.97508713622
3052,slab,16291.25935838368
3053,slab,16311.25935838368
3054,slab,16331.25935838368
3055,end,16359.543629631142
3056,branch,15306.683248177162
3057,slab,15407.47634032677
3058,slab,15489.938452839124
3059,slab,15518.222724086585
3060,slab,15552.863740237963
3061,slab,15581.148011485424
3062,end,15601.148011485424
3063,slab,15007.05946077788
3064,slab,15035.343732025342
3065,slab,15055.343732025342
3066,branch,15089.98474817672
3067,slab,15118.26901942418
3068,slab,15152.910035575558
3069,end,15181.19430682302
3070,branch,14927.0640680546
3071,slab,14948.569881222207
3072,slab,14968.569881222207
3073,slab,14988.569881222207
3074,slab,15016.854152469668
3075,slab,15036.854152469668
3076,end,15065.13842371713
3077,branch,13975.201390460074
3078,slab,13995.201390460074
3079,slab,14023.485661707535
3080,slab,14051.769932954996
3081,slab,14086.410949106374
3082,slab,14121.051965257751
3083,end,14149.336236505213
3084,slab,14034.76746112669
3085,slab,14151.386499023596
3086,slab,14171.386499023596
3087,slab,14206.027515174974
3088,slab,14240.668531326352
3089,slab,14268.952802573813
3090,end,14288.952802573813
3091,branch,13749.039752333081
3092,slab,13809.039752333081
3093,slab,13837.324023580542
3094,slab,13871.96503973192
3095,slab,13891.96503973192
3096,slab,13926.606055883298
3097,end,13946.606055883298
3098,slab,18773.64553417466
3099,slab,18801.92980542212
3100,slab,18830.214076669585
3101,slab,18850.214076669585
3102,slab,18870.214076669585
3103,end,18898.498347917048
3104,slab,18255.72310472864
3105,slab,18322.05560053575
3106,slab,18394.16662604503
3107,slab,18450.73516853995
