segment_id,length,tortuosity,root_dist,strahler_index,radius_mean,radius_min,radius_max,volume
80,186.183356463081,1.0038334019462318,15545.16990921856,1,29.431750774383545,10.0,79.44270324707031,1126327.5124360449
81,189.6219458681982,1.0367431535983143,15131.091813313762,1,30.63627529144287,10.0,67.82369995117188,1046929.7761070328
82,169.16450267539986,1.0330526696334354,16212.609144381322,1,30.0,10.0,70.0,934946.8120741901
83,132.52758550612268,1.0749406925227183,15400.019849685988,1,15.0,10.0,30.0,107865.35689595455
84,119.57178376074471,1.0535592756659589,15067.067865600893,1,16.47319984436035,10.0,27.60849952697754,108192.67846457771
85,249.33957349730517,1.1810335141993444,16807.531004836947,1,47.45857524871826,30.0,75.11289978027344,2121372.6043403205
86,81.32778104476678,0.9999999922230841,16783.39008474611,2,35.89349937438965,22.13010025024414,49.656898498535156,345303.2586584747
87,65.80526205760128,1.1177396295660862,16864.717865790873,1,14.04336675008138,10.0,22.13010025024414,45186.58280610913
88,112.31551362179039,1.0383572543765545,16595.134600694546,1,17.9563250541687,10.0,33.54100036621094,135836.14382449086
89,9156.320312447659,1.0565789395038154,11003.844789462948,4,61.3400170277741,46.56850051879883,79.44270324707031,113028524.90658984
90,84.8528137423857,1.0000000002555316,16670.761294140568,1,12.071074962615967,10.0,18.284299850463867,45445.27920911496
91,125.69470670474031,1.0645978707601185,16285.67321047162,1,17.071074962615967,10.0,30.0,126119.37467857297
92,978.7734672813008,1.002533085312823,20160.165101910603,4,63.74877112252371,46.56850051879883,70.0,12741212.363641849
93,107.64664694883524,1.0986639711808686,15607.455406684465,1,16.2132248878479,10.0,18.284299850463867,101632.7518457555
94,120.0,1.0954451311437117,16518.262343395363,1,20.0,10.0,30.0,230383.4612632515
95,112.08524925651409,1.03559961738557,16493.487708718625,1,18.996824741363525,10.0,29.418699264526367,149009.4437583388
96,240.69545735208703,1.089852256584632,16571.39193259907,1,35.53884983062744,30.0,47.433998107910156,1062629.5647314268
97,214.2955328423773,1.0216138929144076,15908.559310010045,1,30.0,30.0,30.0,605906.3427660752
98,113.52172996153352,1.0688689277697958,16445.63617303714,1,15.708200454711914,10.0,32.832801818847656,99580.1789022445
99,92.6816299853599,0.9999999675205813,16188.724117057858,2,41.33259963989258,33.77629852294922,48.88890075683594,502968.2570685492
100,84.6530115568865,1.034399229618287,16281.405747043218,1,17.925432840983074,10.0,33.77629852294922,102069.34971765241
101,120.39529675674169,1.0990536803731248,15789.15369682933,1,21.213200092315674,10.0,46.56850051879883,237685.53111007935
102,116.5685424949238,1.271867094884765,14727.702823378548,1,19.142149925231934,10.0,30.0,160005.69102789002
103,4608.320871493191,1.0244818311871342,21138.9385691919,4,58.000541555470434,46.56850051879883,72.46209716796875,50092548.75057869
104,152.8541130372721,1.0014919386357548,16376.891187132162,1,22.26199960708618,10.0,50.76369857788086,357661.76691122865
105,277.10417280128155,1.0043075606249339,25747.2594406851,4,51.92876688639323,50.778900146484375,53.245601654052734,2320811.58715342
106,153.7208033017505,1.1681237978218422,16395.009795665137,1,27.610750198364258,20.44300079345703,30.0,370969.87280660064
107,110.8652021575544,1.0118057700118739,14758.964009986947,1,17.071074962615967,10.0,30.0,151513.5745232688
108,140.17442392692124,1.09969632370291,14843.810965080002,1,18.82479953765869,10.0,45.299198150634766,265841.5754840304
109,190.39711837443184,1.067227919573936,15655.679704976204,1,28.681900024414062,10.0,44.72760009765625,567778.1381717514
110,137.10312866373076,1.070595568567869,15720.461384958182,1,22.88247537612915,10.0,53.245601654052734,386433.61232383555
111,124.29145058640715,1.0000000006912693,15689.92532478242,2,41.498050689697266,35.98929977416992,47.00680160522461,676378.9451266454
112,81.35905855978461,1.112019852581675,15814.216775368826,1,21.424533208211262,10.0,35.98929977416992,145423.22354888864
113,176.29626675734195,1.061178826356335,15583.155898795636,1,26.213200092315674,10.0,46.56850051879883,646514.8187554312
114,155.99863464092272,1.0458736175294563,15610.625876694729,2,49.471466700236,30.393400192260742,83.29959869384766,1350454.040855167
115,136.84219584570138,1.000000016385193,15766.624511335653,1,56.64979934692383,30.0,83.29959869384766,1481416.7051740307
116,106.24977823221965,1.079916913319977,15659.596251844041,1,17.30714988708496,10.0,30.944299697875977,137325.39828458097
117,179.49030091666,1.0374067557798456,15600.25070632205,1,23.888999938964844,10.0,48.98740005493164,517958.07348875195
118,225.45489679746575,1.0457488833460706,14741.643416154526,1,35.29139947891235,10.0,66.31279754638672,1594393.5601558518
119,106.96934841374787,1.2378190867908623,15532.723434628644,1,16.10260009765625,10.0,26.126100540161133,113661.10624863608
120,159.73617861547868,1.1183769564167747,15547.300881999285,1,22.071074962615967,10.0,30.0,342899.37056071794
121,75.5598821068203,0.9999999866217966,15758.371952697258,2,50.0,50.0,50.0,593445.9342714841
122,100.02264764389433,0.9999999597244336,15833.931834804078,2,42.89539909362793,35.79079818725586,50.0,583475.7471973993
123,40.75033167838635,0.9999999950852976,15933.954482447973,1,32.89539909362793,30.0,35.79079818725586,138890.14241500996
124,181.88541740152095,1.0213311542865189,15851.922788351452,1,24.683074951171875,10.0,52.163700103759766,522367.015826064
125,6818.474908785519,1.0198856521298474,26024.36361348638,4,52.80650011698405,30.0,72.46209716796875,62991102.595153235
126,57.28834961692521,1.0000000081223126,32842.83852227191,4,46.56850051879883,46.56850051879883,46.56850051879883,390301.9207169743
127,199.62045170575016,1.0399760691416644,15406.322346450448,1,38.939249992370605,10.0,89.1884994506836,1845208.927116256
128,268.7867625693581,1.0004119315010471,32900.12687188883,4,46.56850051879883,46.56850051879883,46.56850051879883,1831227.284942241
